emp_no,first_name,last_name,gender,salary,to_date
11081,Barry,Boyle,M,65686,1986-06-17
11085,Hailing,Thummel,M,66437,1997-02-09
11204,Diederik,Covnot,M,40000,1986-09-18
11207,Saeed,Gips,F,49728,2000-01-31
11100,Berna,Cochrane,M,40000,1987-10-13
11208,Saniya,Valtorta,F,83660,1995-11-17
11106,Aris,Iwayama,F,71446,1986-08-31
11211,Yurij,Rissland,M,72668,1986-09-17
11217,Kellie,Mawatari,M,40000,1991-03-11
11232,Hidefumi,Crelier,M,43863,1995-08-02
11240,Kiam,Condotta,M,61739,1990-01-06
11319,Pranas,Marrakchi,F,40000,1999-11-01
11320,Atilio,McAlpine,M,45118,1991-04-05
11322,Nathalie,Pocchiola,F,43021,1986-07-07
11324,Kauko,Billingsley,F,54288,1986-08-29
11338,Kwangsub,Hanratty,M,82210,1999-10-28
11339,Flemming,Massonet,M,40000,1990-12-19
11347,Anneli,Jonsson,M,41524,1987-04-20
11365,Toshimi,Shinomoto,M,56463,1998-12-18
11376,Valery,Suomi,M,46964,1987-03-14
11380,Kenroku,Pelc,M,53345,1992-04-18
11385,Shiv,Ullian,M,40000,2000-08-07
11386,Alselm,Assaf,F,47726,1988-11-29
11393,Junsik,Junot,M,40000,1986-04-30
11398,Oscar,Peir,M,44625,1995-09-07
11404,Bedrich,Borovoy,M,42907,1991-09-25
11415,Sanjiv,Anido,M,40000,1997-12-07
11421,Josyula,Msuda,F,52416,1987-09-02
11441,Marlo,Aingworth,M,67352,1988-03-26
11449,Kotesh,Asser,M,61434,1996-02-03
11459,Duke,Suomi,M,40000,1987-05-03
11469,Guttorm,Giaccio,M,44625,1995-09-08
11249,Randi,Cyre,M,43324,1987-09-22
11251,Bezalel,Chinal,M,69432,1987-06-15
11268,Aimee,Petersohn,F,40000,1988-10-24
11506,Rance,Picel,F,89747,1997-04-08
11509,Aleksander,Feldhoffer,M,40000,1988-11-11
11513,Otmar,Mahnke,M,82525,1993-08-25
11515,Ulf,Basawa,F,70182,1999-09-21
11275,Hitomi,Eppinger,F,58382,1990-04-25
11518,Jinxi,Oxman,M,40000,1995-09-22
11524,Xiadong,Standera,M,41081,1997-07-05
11527,Alagu,Boyle,M,60212,2000-01-28
11528,Zito,Dolinsky,M,44026,1988-06-14
11290,Visit,Dredge,M,65034,2000-05-12
11537,DAIDA,Pehl,M,96023,1987-07-06
11554,Subhash,Taubenfeld,M,46065,1999-07-15
11555,Kotesh,Perfilyeva,M,40000,1987-10-14
11567,Teiji,Mitzlaff,M,86261,1989-02-02
11568,Martins,Fujisaki,M,54673,1993-03-13
11295,Abdelkader,Lanzelotte,M,66622,1986-05-15
11673,Henk,Felder,F,40000,1990-06-10
11603,Herb,Swen,F,69180,1986-04-13
11607,Tomokazu,Foong,F,49584,1996-04-18
11676,Valeri,Ferriere,F,43310,1999-07-15
11615,Shem,Isaak,F,46591,1992-08-28
11681,Fumitake,Benzmuller,F,40000,1989-08-27
11624,Adil,Gammage,M,42001,1990-07-15
11684,Oksana,Gide,F,68753,1987-02-21
11696,Dante,Rothe,M,51633,1986-10-23
11628,Fan,Malinowski,M,43966,1989-10-23
11640,Valeri,Coorg,M,52520,1989-09-26
11647,Magy,Nitsche,M,40000,1989-05-11
11732,Sanjoy,Ranft,F,40000,1997-12-22
11660,Gill,Stenning,F,65758,1987-11-22
11853,Zeljko,Kusakabe,F,61941,1989-11-17
11857,Divier,Farrag,F,94805,1987-08-27
11864,Pradeep,Kriebel,F,52517,1996-11-01
11871,Nalini,Sommen,M,67424,1994-10-13
11872,Cheong,Riexinger,M,43159,1995-02-12
11735,Amalendu,Picci,M,40000,1989-07-14
11746,Koichi,Marrakchi,F,55951,1989-11-17
11894,Mitchel,Validov,M,56198,1989-06-22
11897,Cordelia,Setlzner,M,80049,1989-06-16
11906,Hideo,Boguraev,F,81324,2000-02-07
11915,Miomir,Mawatari,M,58042,1993-06-28
11751,Jiafu,Emiris,M,40000,1989-11-03
11764,Sanjay,Anick,F,64875,1992-12-15
11931,Gunilla,Chiodo,F,73369,1992-01-13
11933,Basil,Erman,M,56130,1988-06-12
11949,Martijn,Harbusch,M,40000,1986-03-11
11769,Chandrasekaran,Lampe,M,40000,1994-10-22
11772,Gaurav,Penz,F,61295,2000-11-06
11797,Chenxi,Thambidurai,M,88050,1989-08-30
11983,Jaana,Hedayat,M,40000,1987-10-11
11993,Marit,Dalphin,M,56505,1997-10-22
12011,Zhilian,Coorg,F,85833,1989-07-22
11810,Amabile,Bhattacharjee,M,41256,1993-01-04
11817,Niranjan,Markovitch,M,50638,1987-04-12
11832,Arto,Zlotek,M,40000,1997-02-03
12036,Mads,Ratzlaff,M,67143,1987-09-05
12037,Arunas,Katzenelson,M,47805,1987-10-01
12050,Yuchang,Tchuente,F,46704,1990-04-01
12062,Margareta,Worfolk,M,44199,1997-01-03
12069,Ayonca,Burnard,M,51928,1986-05-13
12070,Ger,Shokrollahi,M,50233,1989-11-14
12076,Karlis,Siprelle,F,75381,1986-03-25
12082,Xinan,Yamaashi,M,72118,1987-01-29
11844,Shawna,Demeyer,M,78049,1989-01-26
12089,Bilhanan,Socorro,M,46288,1987-10-22
12099,Nobuyoshi,Kuzuoka,M,104610,1995-02-15
12221,Vincent,Melter,M,56736,1986-09-16
12112,Satyanarayana,Avouris,M,76538,1990-09-26
12122,Satoru,Krone,F,46398,1988-07-23
12123,Xiahua,Syrzycki,F,64879,1988-07-17
12125,Shounak,Erman,F,41215,1998-03-31
12222,Abdelwaheb,Holburn,F,55840,1988-08-14
12223,Niteen,Koyama,F,54459,1987-08-13
12149,Suebskul,Grandbois,M,109934,1989-10-01
12247,Subbu,Penttonen,F,59183,1986-04-09
12159,Shem,Perly,M,61210,1986-07-17
12165,Xiaobin,Maquelin,F,41951,1995-08-29
12183,Harngdar,Iisaku,M,40000,1999-04-04
12192,Feiyu,Klyachko,F,41625,1987-09-02
12249,Eldridge,Sadowski,M,70099,1988-06-20
12205,Sushant,Rossi,M,40000,1988-11-10
12206,Barton,Janetzko,F,40000,1986-03-27
12256,Guadalupe,Reghbati,F,40000,1986-08-26
12264,Mart,Pagter,M,51816,1999-01-09
12218,Yaghout,Strooper,M,40000,1992-03-11
12270,Shakhar,Kornyak,M,52840,1990-08-19
12272,Behnaam,Grandbois,F,43811,1988-12-07
12308,Mototsugu,Cronau,M,58741,1986-08-11
12411,Shao,Ibel,M,97610,1987-08-17
12413,Hugh,Gadepally,F,53179,1995-03-04
12417,Dannz,Spelt,F,67342,1999-02-02
12422,Berhard,Demos,F,71376,1994-06-07
12454,Kerryn,Farris,F,41347,1999-12-18
12311,Susanne,Lubachevsky,M,40000,1986-10-22
12327,DAIDA,Bruckman,M,67449,1987-10-16
12464,Shai,Milicic,F,50448,1999-06-01
12475,Filipe,Roison,M,40000,1988-04-25
12487,Mona,Reghbati,F,40000,1999-12-07
12489,Arnould,Munck,F,63306,1987-04-11
12341,Rasiah,Luga,M,40000,1986-05-25
12490,Jackson,Muchinsky,F,40000,1995-05-09
12497,Stein,Penz,M,81191,1990-09-25
12501,Morrie,Matheson,F,76082,1987-06-05
12504,Adly,Rosaz,F,40000,1998-08-14
12514,Tomofumi,Melter,M,54241,2000-11-12
12343,Sorina,Slaats,M,52134,1989-08-25
12365,Kamakshi,Bisiani,M,40000,1989-09-12
12528,Conor,Cincotta,F,40000,1989-09-24
12534,Yongmao,Gerlach,M,66715,1986-08-14
12541,Shih,Nanard,M,93105,1989-08-31
12542,Kazuhide,Bouloucos,F,44176,1988-09-11
12373,Mooi,Driscoll,F,75986,1994-11-11
12551,Jeane,Tzvieli,M,40000,1988-12-03
12553,Aral,Vesna,M,40000,1988-02-28
12557,Stafford,Kopetz,M,41840,1989-03-20
12589,Anoosh,Chleq,M,59441,1989-09-08
12596,Breannda,Roisin,M,40000,1997-09-29
12601,Ghassan,Simkin,M,41714,1993-07-09
12608,Nectarios,Mondadori,M,40000,1992-02-22
12635,Xinyu,Restivo,F,40000,1996-02-03
12638,Yuqun,Seiwald,F,56677,2000-04-28
12642,Suebskul,Gips,F,68271,1997-10-28
12651,Pragnesh,Bael,M,75150,1989-01-26
12662,Leucio,Alvarado,M,69016,1986-08-27
12663,Nobuyoshi,Stellhorn,M,49966,1987-09-29
12664,Zhonghua,Parveen,M,40000,2000-08-03
12395,Sanjit,Felder,M,66909,1996-06-04
12689,Luerbio,Boudaillier,M,59689,1993-11-23
12691,Oddvar,Gils,M,48493,1993-08-25
12697,Uri,Brizzi,M,40000,1987-07-11
12709,Ronghao,Botman,M,45510,1996-02-26
12717,Tzu,Jiafu,F,53194,2000-10-19
12399,Mihalis,Luga,M,85582,1988-12-06
12722,Elliott,Cheshire,F,62325,1986-03-29
12726,Fumitake,Panwar,M,61177,1995-05-19
12729,Nahla,Rahier,F,51796,1993-10-15
12731,Yongmao,Waymire,F,40000,1989-04-05
12790,Gunilla,Perl,F,87760,1996-08-07
12732,Mara,Takanami,M,74436,1989-04-06
12734,Gil,Frijda,M,40000,1987-03-03
12755,Rildo,Rodite,F,40196,1988-03-17
12773,Jenwei,Lovengreen,M,65556,1986-03-05
12795,Masoud,Fordan,M,56969,1989-06-23
12798,Lillian,Beeson,F,81145,1988-12-26
12803,Gad,Boissier,M,91789,1986-03-16
12815,Sushant,Junot,M,65073,1986-02-27
12977,Byong,Markovitch,M,61326,1988-08-23
12819,Mountaz,Gubsky,M,48455,1990-09-09
12983,Elliott,Hambrick,F,57252,2000-06-27
13030,Yahiko,Kroll,M,51770,1994-11-25
12848,Kazuhide,Smeets,M,40000,1998-05-11
13046,Vivian,Stafford,M,40000,1988-04-18
13047,Atilio,Chelton,M,52323,1993-02-25
13075,Rosella,Morrin,M,40000,1987-08-17
13076,Deniz,Skafidas,F,50582,1996-01-28
12863,Leif,Matheson,M,62803,1986-09-06
13096,Ibibia,Armand,M,52544,1995-04-22
12872,Marl,Schmittgen,F,56040,1987-09-09
13103,Srinidhi,Ellozy,F,40000,1989-06-19
12879,Baruch,Eugenio,M,40000,1991-06-11
13124,Quingbo,Garnick,F,73785,1986-03-17
13133,Guther,Senzako,M,67777,1986-09-03
12890,Neven,Casley,F,66803,1986-10-31
13134,Lorien,Chepyzhov,M,51227,1988-10-22
13144,Persi,Nollmann,M,52825,1990-06-19
12893,Licheng,Crouzet,M,50803,1988-03-17
12895,Roddy,Serot,M,40000,1994-08-15
12905,Munehiro,Gecsei,M,58659,1988-07-18
13146,Haldon,Erie,M,61398,1986-05-25
13147,Shichao,Ginesta,M,77429,1994-06-29
12926,Heekeun,Luby,M,68314,1986-12-24
13156,Akeel,Millington,M,48285,1993-08-18
13165,Lucian,Benner,F,42796,1989-03-16
13168,Munir,Stentiford,F,49210,1988-09-10
13170,Cheong,Bernardeschi,M,49012,1994-01-09
13171,Anoosh,Birnbaum,M,40000,1988-08-30
13173,Arve,Horswill,M,46354,1988-09-23
13179,Moty,Janocha,M,90233,2000-02-19
13182,Kokou,Rodite,M,46832,2000-03-02
13186,Kyoichi,Barbanera,M,93138,1987-04-29
13192,Rosita,Flowers,M,43986,1994-02-01
12940,Odinaldo,Farrar,F,49760,1988-12-11
13202,Aram,Scharstein,F,51915,1987-03-29
13210,Jianhua,Klassen,M,83961,1998-07-27
13213,Hein,Billawala,M,61131,1989-08-30
12941,Tommaso,Perelgut,F,67069,1987-11-06
13232,Mitchel,Fujisaki,F,40000,1987-06-02
12949,Geoff,Asrin,F,40000,1988-02-12
13233,Alselm,Chvatal,M,49414,1988-03-30
13238,Ebru,Foote,F,40000,1994-10-10
13240,King,Pileggi,M,49018,1995-03-10
13332,Nidapan,Pearson,F,40000,1988-09-23
13250,Zeydy,Schusler,M,47829,1989-10-28
13272,Arun,Jiang,F,40000,1986-03-10
13276,Yechiam,Seuren,M,65836,1987-03-09
13288,Muneo,Broomell,F,40000,1988-04-13
13291,Georg,Stamatiou,M,54720,1987-10-30
13333,Yoshinari,Hennebert,M,50997,1989-03-23
13302,Mack,Alencar,F,40000,1991-09-26
13341,Bodh,Doering,F,40000,1987-03-11
13315,Sakthirel,Stroustrup,F,40000,1992-06-01
13343,Heon,Usery,M,40000,1989-07-29
13368,Kiyokazu,Klassen,M,52872,1998-09-30
13371,Nakhoon,Riexinger,F,40000,1992-12-12
13524,Chaoyi,Porotnikoff,F,52849,1996-10-27
13535,Arunas,Schlenzig,F,40000,1987-05-19
13373,Juichirou,Naumovich,M,82749,1992-08-23
13385,Claudi,Buchter,M,40000,1987-06-10
13546,Aimee,Brookner,F,50295,1989-10-26
13549,Matk,Koprowski,M,40000,1998-06-18
13552,Ingmar,Capobianchi,M,73346,1986-03-23
13386,Khosrow,Sgarro,F,91420,1987-02-23
13389,Divine,Cmelik,F,40000,1989-03-23
13576,Jungsoon,Engberts,F,73022,1993-08-29
13392,Fumitake,Beidas,F,69221,1989-08-26
13396,Chuanyi,Aumann,F,40000,1995-03-29
13402,Augustine,Dulli,M,40000,2000-09-11
13405,Randy,Baba,F,60799,1991-05-10
13605,Dmitry,Encarnacion,F,70404,1986-09-29
13407,Gio,Chenoweth,M,60348,1993-10-03
13408,Sreekrishna,Lagarias,M,52479,1996-07-24
13415,Nathalie,Speer,F,61838,1992-04-24
13621,Fei,Haddadi,M,73192,1988-02-09
13624,Zhigen,Yurek,M,40000,1988-05-11
13629,Dzung,Trelles,M,40000,1988-01-03
13422,Vishwani,Gerlach,F,59466,1989-01-16
13648,Zejun,Lamba,F,47723,1986-11-16
13653,Kristen,Iivonen,M,53242,1992-01-17
13442,Giordano,Miake,M,40000,1988-06-15
13670,Moti,Takanami,F,40000,1989-06-30
13680,Denny,Speer,M,46968,1997-02-04
13443,Mayuko,Puppo,M,40000,1991-12-26
13685,Weicheng,Hockney,F,48322,1992-11-28
13445,Renee,Dehkordi,M,53194,1997-11-29
13451,Gretta,Weiland,M,40000,1987-08-23
13697,Shuichi,Weedon,M,40000,1986-06-20
13457,Shooichi,Parfitt,M,40812,1987-01-18
13458,Feipei,Nivat,F,41375,1990-03-02
13463,Theron,Berstel,F,40000,1989-01-25
13465,Sasan,Rehfuss,M,49821,2000-03-11
13704,Vishu,Kumaresan,F,40000,1988-09-30
13721,Sugwoo,Delgrossi,F,64754,1996-09-20
13727,Vitali,Merey,M,50798,2000-10-06
13493,Uinam,Jullig,F,40000,1988-09-06
13738,Bangqing,Mitchem,F,48349,1999-06-30
13766,Tremaine,Heemskerk,M,43748,1987-08-18
13769,Yakichi,Trogemann,F,61025,1989-10-18
13775,Arve,Maierhofer,M,70161,1988-10-20
13786,Takushi,Berendt,F,74494,1990-05-19
13787,Xiaobin,Sinicrope,F,40000,1991-10-30
13792,Valery,Sury,M,59127,1986-07-27
13796,Paloma,Thorelli,M,50962,1996-12-31
13809,Kiyotoshi,Basagni,M,43735,1987-01-12
13815,Guadalupe,Plotkin,M,40000,1986-09-09
13825,Arlette,Pell,M,54704,1987-08-02
13841,Christophe,Spinelli,M,52277,1993-01-31
13842,Juichirou,Cichocki,F,40000,1992-04-20
13846,Guiseppe,Welham,M,61097,1986-03-20
13853,Mingsen,Roohalamini,M,61615,1992-03-24
13504,Parto,Mandell,F,41895,1987-12-21
13859,Anoosh,Fujisawa,M,40000,1988-08-22
13884,Kensei,Swift,M,44785,1999-12-21
14088,Mori,Leslie,M,44821,1988-11-09
13894,Ult,Schonegge,F,48958,1988-11-27
13904,Youngkon,Cairo,M,73885,1988-09-02
14107,Xiahua,Rindone,M,82396,1992-12-14
13934,Shiv,Bratsberg,F,46507,1991-04-04
13942,Elzbieta,Esteva,M,40000,1998-10-13
13951,Mooi,Genther,F,82054,1986-12-28
14111,Leszek,Cummings,F,52696,1993-09-25
13960,Nechama,Hettesheimer,M,43204,1997-04-06
13962,Maris,Ghelli,M,67965,1995-10-26
14118,Kasturi,Anido,M,46248,1986-04-06
13966,Boguslaw,Cooman,F,40000,1991-12-26
13969,Jianwen,Chandrasekhar,F,60392,1986-05-29
14167,Adas,Hertweck,F,40000,1986-12-01
13990,Deborah,Schapiro,F,52723,1989-06-10
13992,Ulises,Kenevan,M,81318,1989-07-27
13999,Florian,Crouzet,M,40000,1996-02-25
14005,Vojin,Stellhorn,M,40000,1986-05-10
14015,Manibrata,Picaronny,M,63084,1998-08-15
14191,Jiann,Luby,F,40155,1988-01-16
14034,Aloys,Seghrouchni,M,69700,1986-08-26
14041,Shan,DeMori,F,63235,1988-12-21
14209,Masanao,Kusakabe,F,40000,1989-04-06
14067,Godehard,Trachtenberg,M,44669,1995-02-14
14220,Tomofumi,Pargas,F,68017,1988-12-01
14257,Kwok,Massonet,F,40000,1999-02-04
14232,Masali,Bojadziev,M,50568,1995-09-10
14236,Xuedong,Angiulli,F,40000,1989-11-07
14290,Miyeon,Olivero,M,78736,1993-03-29
14292,Susanna,Vigier,F,41846,1989-02-18
14237,Abdulla,Gerlach,F,57219,1987-06-13
14298,Chriss,Granlund,F,40000,1997-01-06
14242,Sudhanshu,Benaini,F,40000,1986-06-27
14460,Yagil,Lueh,F,56267,1989-01-22
14310,Marlo,Leuchs,M,40000,1988-02-23
14320,Sreenivas,Schaar,M,40000,1987-06-30
14322,Shem,Kakkad,M,50363,2000-11-18
14323,Golgen,Leslie,F,40000,1998-08-05
14340,Vitaly,Wixon,M,42858,1987-12-19
14344,Otilia,Buescher,F,41979,1989-12-16
14354,Mong,Bojadziev,M,40000,1986-08-28
14478,Munehiro,Boissier,F,40000,1993-06-28
14360,Janche,Erbe,M,43476,1998-08-01
14372,Saniya,Srimani,F,57667,2000-12-25
14481,Moti,Lammel,M,40000,1988-08-24
14384,Tomofumi,Holburn,F,58260,1989-02-12
14483,Supot,Marrevee,M,40000,1987-01-30
14486,Indrajit,Birdsall,M,40000,1995-08-12
14498,Xiong,Selenyi,M,40000,1989-10-17
14501,Taizo,Kroft,M,63646,1992-11-19
14509,Danil,Aloia,M,40000,1996-12-16
14422,Toshimo,Gadepally,M,59001,1986-10-20
14513,Samphel,Barreiro,M,83273,1986-07-28
14434,Elvis,Maginnis,M,40000,1990-09-21
14515,Kazuhisa,Versino,F,61645,1992-02-19
14439,Raimond,Woycyznski,M,80654,1987-11-01
14516,Kristian,Underwood,F,73262,1990-04-08
14518,Patricia,Peir,M,64238,1997-02-17
14522,Chuanyi,Ranta,F,40000,1991-01-14
14537,Babette,Engelmann,F,48332,1990-03-17
14632,Gudjon,McClurg,M,40000,1988-07-31
14639,Arvind,Hempstead,F,79405,1988-11-07
14640,Toshimori,Kornatzky,M,42662,1993-05-20
14552,Ibibia,Snyers,M,40000,1995-06-13
14642,Florian,Kuhnemann,F,54553,1988-06-04
14645,Laurentiu,Glinert,F,45647,1988-04-30
14648,IEEE,Lorys,M,89209,1987-11-16
14659,Sashi,Adachi,F,40926,1986-03-16
14556,Fatemeh,Zultner,M,40000,1987-12-26
14560,Elrique,Driscoll,M,62770,1986-05-21
14675,Teunis,Angel,F,40000,1989-09-25
14677,Herbert,Sifakis,M,40000,1988-02-12
14683,Alois,Basart,M,41107,1987-12-02
14690,Yechezkel,Bellone,F,40000,1987-02-25
14693,Brewster,Stranks,F,59960,1987-05-05
14710,Mahmut,Hainaut,F,40341,1989-09-18
14723,Constantino,Assaf,M,40000,1994-06-01
14724,Aron,Lemarechal,M,66530,1987-09-10
14780,Marlo,Bruckman,F,51232,1987-09-19
14785,Zhonghua,Kaiser,M,46936,1989-06-23
14793,Stein,Uchoa,M,47045,1999-01-18
14814,Odysseas,Nishimukai,M,40000,1988-10-26
14817,Gaurav,Masaki,M,41203,1993-12-02
14821,Oguz,Kilgore,M,42545,1998-05-25
14839,Changho,Cronin,M,40000,1991-04-24
14853,Taiji,Nergos,F,58311,1989-03-07
14877,Arto,Meriste,M,40000,1989-06-06
14879,Anyuan,Sigstam,M,54322,1988-12-28
14888,Temple,Barriga,F,60916,1987-12-09
14899,Alejandro,Casley,M,64365,1986-02-22
14906,Adil,Parveen,F,54758,1988-12-10
14908,Kerhong,Flanders,F,40000,1993-09-17
14909,Mohan,Kamble,M,40000,1991-12-21
14911,Xiaobin,Chelton,F,62738,1988-04-05
14914,Gretta,Benzaken,F,40000,2000-09-24
14915,Huican,Picco,M,40733,1995-07-03
14923,Shuzo,Gyorkos,M,40000,1986-05-15
14928,Satoru,Mukaidono,F,53377,1986-05-17
14941,Nathan,Lichtner,M,43608,1989-12-22
14942,Heon,Benveniste,M,40000,1988-11-14
14949,Insup,Reinhart,F,44930,1988-10-07
14954,Fox,Magliocco,F,43510,1989-08-05
14971,Fan,Simmen,M,55187,1992-03-24
14983,Hyuckchul,Pouyioutas,M,86754,1989-12-26
14993,Sanjay,Koblitz,M,45407,1989-04-20
15005,Kiam,Sadowsky,M,50368,1987-05-23
15016,Woody,Gulik,F,40000,1992-10-20
15018,Ramalingam,Prenel,F,40668,1994-03-11
15019,Qingxiang,Shokrollahi,F,41721,1989-11-02
15029,Giordano,Koshino,M,40000,1992-04-26
15030,Rasikan,Nourani,M,40000,2000-04-10
15036,Ziva,Delgrande,M,40000,1995-11-04
15049,Khun,Waymire,F,40000,1992-01-17
15052,Flemming,Kranzdorf,M,40630,1994-01-27
15055,Shrikanth,Sherertz,M,40000,1992-07-15
15066,Tomokazu,Oaver,M,43455,1994-06-29
15069,Manton,Siksek,M,40000,1988-08-04
15071,Ayonca,Couchot,F,97484,1989-10-15
15075,Radoslaw,Rijsenbrij,M,40000,1987-04-24
15077,Toshiki,Taubenfeld,F,40000,1994-06-25
15082,Guadalupe,Zirintsis,F,63024,1987-04-01
